feature,review,is_matched
our personalized recommendation system,"The our personalized recommendation system works flawlessly, very impressed.",1
our personalized recommendation system,our personalized recommendation system is exactly what I needed. Great job!,1
our personalized recommendation system,I hate how the our personalized recommendation system keeps crashing.,1
our personalized recommendation system,The our personalized recommendation system is functional but basic.,1
our personalized recommendation system,"Disappointed with the our personalized recommendation system, needs improvement.",1
our personalized recommendation system,Not worth the storage space.,0
our personalized recommendation system,I have mixed feelings about the new content.,0
our personalized recommendation system,This app would be good if the share photos actually worked.,0
our personalized recommendation system,set privacy is exactly what I needed. Great job!,0
our personalized recommendation system,Simple and easy to use.,0
your content,The your content is full of glitches. Fix it please!,1
your content,I hate how the your content keeps crashing.,1
your content,your content is exactly what I needed. Great job!,1
your content,This app has a great your content that makes everything easier.,1
your content,Finally an app with a good your content. Five stars!,1
your content,"Disappointed with the private messaging, needs improvement.",0
your content,"Great share photos, intuitive and easy to use!",0
your content,Love it!,0
your content,Needs improvement.,0
your content,The discover content is functional but basic.,0
see content,see content is exactly what I needed. Great job!,1
see content,I hate how the see content keeps crashing.,1
see content,Finally an app with a good see content. Five stars!,1
see content,This app has a great see content that makes everything easier.,1
see content,I have mixed feelings about the see content.,1
see content,I hate how the your content keeps crashing.,0
see content,your content is exactly what I needed. Great job!,0
see content,This app is great!,0
see content,I have mixed feelings about the 24 hours.,0
see content,I hate how the our personalized recommendation system keeps crashing.,0
24 hours,This app has a great 24 hours that makes everything easier.,1
24 hours,The 24 hours is functional but basic.,1
24 hours,"Disappointed with the 24 hours, needs improvement.",1
24 hours,I hate how the 24 hours keeps crashing.,1
24 hours,I hate how the 24 hours keeps crashing.,1
24 hours,Finally an app with a good share photos. Five stars!,0
24 hours,Love it!,0
24 hours,Simple and easy to use.,0
24 hours,"Terrible app, don't waste your time.",0
24 hours,Finally an app with a good follow celebrities. Five stars!,0
customize profile,"Average customize profile, does what it's supposed to do.",1
customize profile,This app would be good if the customize profile actually worked.,1
customize profile,I love the customize profile! It works perfectly.,1
customize profile,"The customize profile is amazing, best app I've used.",1
customize profile,"Great customize profile, intuitive and easy to use!",1
customize profile,The share photos is too complicated and confusing.,0
customize profile,our social networking app is exactly what I needed. Great job!,0
customize profile,App keeps crashing on my phone.,0
customize profile,"The our social networking app works, but it's nothing special.",0
customize profile,your content is exactly what I needed. Great job!,0
create groups,"Disappointed with the create groups, needs improvement.",1
create groups,I'm really enjoying the create groups in this update.,1
create groups,This app would be good if the create groups actually worked.,1
create groups,I love the create groups! It works perfectly.,1
create groups,create groups is exactly what I needed. Great job!,1
create groups,Needs improvement.,0
create groups,Finally an app with a good your favorite celebrities. Five stars!,0
create groups,This app would be good if the post stories actually worked.,0
create groups,your followers is exactly what I needed. Great job!,0
create groups,The new content is functional but basic.,0
share location,"The share location is terrible, doesn't work at all.",1
share location,"I'm using the share location occasionally, it's decent.",1
share location,"Great share location, intuitive and easy to use!",1
share location,"Great share location, intuitive and easy to use!",1
share location,The share location is too complicated and confusing.,1
share location,This app is great!,0
share location,Not worth the storage space.,0
share location,"Average set privacy, does what it's supposed to do.",0
share location,your location is buggy and frustrating to use.,0
share location,discover content is exactly what I needed. Great job!,0
your favorite celebrities,your favorite celebrities is exactly what I needed. Great job!,1
your favorite celebrities,I'm really enjoying the your favorite celebrities in this update.,1
your favorite celebrities,Finally an app with a good your favorite celebrities. Five stars!,1
your favorite celebrities,I'm really enjoying the your favorite celebrities in this update.,1
your favorite celebrities,Finally an app with a good your favorite celebrities. Five stars!,1
your favorite celebrities,Finally an app with a good your content. Five stars!,0
your favorite celebrities,Needs improvement.,0
your favorite celebrities,Love it!,0
your favorite celebrities,The your content is full of glitches. Fix it please!,0
your favorite celebrities,The share location is too complicated and confusing.,0
new content,"Not sure about the new content, it's a bit hit or miss.",1
new content,I have mixed feelings about the new content.,1
new content,Finally an app with a good new content. Five stars!,1
new content,I have mixed feelings about the new content.,1
new content,I have mixed feelings about the new content.,1
new content,our personalized recommendation system is exactly what I needed. Great job!,0
new content,"I'm using the your profile occasionally, it's decent.",0
new content,"Great share photos, intuitive and easy to use!",0
new content,Can't get the follow celebrities to work properly. Uninstalling!,0
new content,I have mixed feelings about the 24 hours.,0
your followers,your followers is exactly what I needed. Great job!,1
your followers,"Disappointed with the your followers, needs improvement.",1
your followers,"Not sure about the your followers, it's a bit hit or miss.",1
your followers,I love the your followers! It works perfectly.,1
your followers,"The your followers is okay, but could be better.",1
your followers,"Average set privacy, does what it's supposed to do.",0
your followers,Simple and easy to use.,0
your followers,create groups is exactly what I needed. Great job!,0
your followers,Can't get it to work properly.,0
your followers,Finally an app with a good your favorite celebrities. Five stars!,0
your profile,The your profile is too complicated and confusing.,1
your profile,The your profile is too complicated and confusing.,1
your profile,The your profile is functional but basic.,1
your profile,Can't get the your profile to work properly. Uninstalling!,1
your profile,I hate how the your profile keeps crashing.,1
your profile,"Disappointed with the private messaging, needs improvement.",0
your profile,I love the follow celebrities! It works perfectly.,0
your profile,I hate how the see content keeps crashing.,0
your profile,App keeps crashing on my phone.,0
your profile,Works well on my device.,0
set privacy,"Great set privacy, intuitive and easy to use!",1
set privacy,set privacy is exactly what I needed. Great job!,1
set privacy,"Average set privacy, does what it's supposed to do.",1
set privacy,The set privacy is functional but basic.,1
set privacy,This app has a great set privacy that makes everything easier.,1
set privacy,Needs improvement.,0
set privacy,Worth the download.,0
set privacy,Finally an app with a good share photos. Five stars!,0
set privacy,The our social networking app is too complicated and confusing.,0
set privacy,Can't get the private messaging to work properly. Uninstalling!,0
discover content,I'm really enjoying the discover content in this update.,1
discover content,discover content is exactly what I needed. Great job!,1
discover content,discover content is exactly what I needed. Great job!,1
discover content,The discover content is too complicated and confusing.,1
discover content,"The discover content is okay, but could be better.",1
discover content,Needs improvement.,0
discover content,Finally an app with a good follow celebrities. Five stars!,0
discover content,Simple and easy to use.,0
discover content,I have mixed feelings about the specific interests.,0
discover content,The share location is too complicated and confusing.,0
your location,your location is buggy and frustrating to use.,1
your location,This app has a great your location that makes everything easier.,1
your location,I have mixed feelings about the your location.,1
your location,The your location is full of glitches. Fix it please!,1
your location,The private messaging is functional but basic.,0
your location,"The share location is terrible, doesn't work at all.",0
your location,"The our social networking app works, but it's nothing special.",0
your location,Worth the download.,0
your location,Can't get it to work properly.,0
post stories,I have mixed feelings about the post stories.,1
post stories,"Not sure about the post stories, it's a bit hit or miss.",1
post stories,This app would be good if the post stories actually worked.,1
post stories,"The post stories works, but it's nothing special.",1
post stories,The post stories is full of glitches. Fix it please!,1
post stories,your content is exactly what I needed. Great job!,0
post stories,This app has a great set privacy that makes everything easier.,0
post stories,"Great set privacy, intuitive and easy to use!",0
post stories,"The our personalized recommendation system works flawlessly, very impressed.",0
post stories,new content is exactly what I needed. Great job!,0
follow celebrities,"Not sure about the follow celebrities, it's a bit hit or miss.",1
follow celebrities,"The follow celebrities works, but it's nothing special.",1
follow celebrities,Finally an app with a good follow celebrities. Five stars!,1
follow celebrities,"Great follow celebrities, intuitive and easy to use!",1
follow celebrities,Can't get the follow celebrities to work properly. Uninstalling!,1
follow celebrities,Finally an app with a good your content. Five stars!,0
follow celebrities,"Average share photos, does what it's supposed to do.",0
follow celebrities,"The our social networking app works, but it's nothing special.",0
follow celebrities,I love the your followers! It works perfectly.,0
follow celebrities,The your profile is too complicated and confusing.,0
specific interests,"The specific interests is okay, but could be better.",1
specific interests,I'm really enjoying the specific interests in this update.,1
specific interests,I'm really enjoying the specific interests in this update.,1
specific interests,This app has a great specific interests that makes everything easier.,1
specific interests,I have mixed feelings about the specific interests.,1
specific interests,Love it!,0
specific interests,new content is exactly what I needed. Great job!,0
specific interests,This app would be good if the post stories actually worked.,0
specific interests,Simple and easy to use.,0
specific interests,your followers is exactly what I needed. Great job!,0
private messaging,"Not sure about the private messaging, it's a bit hit or miss.",1
private messaging,This app has a great private messaging that makes everything easier.,1
private messaging,Can't get the private messaging to work properly. Uninstalling!,1
private messaging,private messaging is buggy and frustrating to use.,1
private messaging,The private messaging is functional but basic.,1
private messaging,I'm really enjoying the customize profile in this update.,0
private messaging,This app would be good if the customize profile actually worked.,0
private messaging,Not worth the storage space.,0
private messaging,Finally an app with a good your favorite celebrities. Five stars!,0
private messaging,App keeps crashing on my phone.,0
share photos,"Great share photos, intuitive and easy to use!",1
share photos,"Average share photos, does what it's supposed to do.",1
share photos,This app has a great share photos that makes everything easier.,1
share photos,The share photos is too complicated and confusing.,1
share photos,This app has a great share photos that makes everything easier.,1
share photos,Finally an app with a good see content. Five stars!,0
share photos,The post stories is full of glitches. Fix it please!,0
share photos,Simple and easy to use.,0
share photos,Finally an app with a good your favorite celebrities. Five stars!,0
share photos,Love it!,0
our social networking app,"The our social networking app is okay, but could be better.",1
our social networking app,our social networking app is exactly what I needed. Great job!,1
our social networking app,"The our social networking app works, but it's nothing special.",1
our social networking app,"Average our social networking app, does what it's supposed to do.",1
our social networking app,The our social networking app is too complicated and confusing.,1
our social networking app,"Disappointed with the your followers, needs improvement.",0
our social networking app,"The follow celebrities is amazing, best app I've used.",0
our social networking app,Love it!,0
our social networking app,Simple and easy to use.,0
our social networking app,share photos is exactly what I needed. Great job!,0
your tasks,"The your tasks is terrible, doesn't work at all.",1
your tasks,"The your tasks works flawlessly, very impressed.",1
your tasks,I have mixed feelings about the your tasks.,1
your tasks,"The your tasks is terrible, doesn't work at all.",1
your tasks,"The your tasks is terrible, doesn't work at all.",1
your tasks,"The boost productivity is okay, but could be better.",0
your tasks,"The your progress is terrible, doesn't work at all.",0
your tasks,"I'm using the find tasks occasionally, it's decent.",0
your tasks,"Not sure about the to-do lists, it's a bit hit or miss.",0
your tasks,"Disappointed with the better scheduling, needs improvement.",0
your productivity,Can't get the your productivity to work properly. Uninstalling!,1
your productivity,"The your productivity is amazing, best app I've used.",1
your productivity,"The your productivity works flawlessly, very impressed.",1
your productivity,I hate how the your productivity keeps crashing.,1
your productivity,I'm really enjoying the your productivity in this update.,1
your productivity,sharing tasks is exactly what I needed. Great job!,0
your productivity,Can't get the sync tasks to work properly. Uninstalling!,0
your productivity,Can't get it to work properly.,0
your productivity,"Average your progress, does what it's supposed to do.",0
your productivity,"Disappointed with the your progress, needs improvement.",0
our task management app,"Great our task management app, intuitive and easy to use!",1
our task management app,I'm really enjoying the our task management app in this update.,1
our task management app,"The our task management app is amazing, best app I've used.",1
our task management app,Worth the download.,0
our task management app,This app would be good if the find tasks actually worked.,0
our task management app,The track progress is full of glitches. Fix it please!,0
our task management app,I have mixed feelings about the create lists.,0
our task management app,This app has a great set priorities that makes everything easier.,0
find tasks,"Average find tasks, does what it's supposed to do.",1
find tasks,This app would be good if the find tasks actually worked.,1
find tasks,I hate how the find tasks keeps crashing.,1
find tasks,"The find tasks works, but it's nothing special.",1
find tasks,"I'm using the find tasks occasionally, it's decent.",1
find tasks,"Great all your devices, intuitive and easy to use!",0
find tasks,visual charts is exactly what I needed. Great job!,0
find tasks,"The sharing tasks is terrible, doesn't work at all.",0
find tasks,Can't get it to work properly.,0
find tasks,I love the organize tasks! It works perfectly.,0
set reminders,The set reminders is too complicated and confusing.,1
set reminders,I'm really enjoying the set reminders in this update.,1
set reminders,I hate how the set reminders keeps crashing.,1
set reminders,"Disappointed with the set reminders, needs improvement.",1
set reminders,"Average set reminders, does what it's supposed to do.",1
set reminders,"I'm using the set priorities occasionally, it's decent.",0
set reminders,Too many ads!,0
set reminders,I have mixed feelings about the sync tasks.,0
set reminders,Works well on my device.,0
set reminders,"Terrible app, don't waste your time.",0
to-do lists,"Average to-do lists, does what it's supposed to do.",1
to-do lists,"Not sure about the to-do lists, it's a bit hit or miss.",1
to-do lists,"The to-do lists is okay, but could be better.",1
to-do lists,"The to-do lists works, but it's nothing special.",1
to-do lists,"Disappointed with the your progress, needs improvement.",0
to-do lists,I have mixed feelings about the your accomplishments.,0
to-do lists,This app is great!,0
to-do lists,The your progress is full of glitches. Fix it please!,0
to-do lists,I have mixed feelings about the sync tasks.,0
get summaries,I'm really enjoying the get summaries in this update.,1
get summaries,The get summaries is too complicated and confusing.,1
get summaries,This app has a great get summaries that makes everything easier.,1
get summaries,I hate how the create lists keeps crashing.,0
get summaries,This app is great!,0
get summaries,"The to-do lists works, but it's nothing special.",0
get summaries,"The calendar apps works flawlessly, very impressed.",0
get summaries,"The set priorities works, but it's nothing special.",0
your progress,I'm really enjoying the your progress in this update.,1
your progress,Finally an app with a good your progress. Five stars!,1
your progress,"Disappointed with the your progress, needs improvement.",1
your progress,"Average your progress, does what it's supposed to do.",1
your progress,"I'm using the your progress occasionally, it's decent.",1
your progress,"The your tasks is terrible, doesn't work at all.",0
your progress,organize tasks is exactly what I needed. Great job!,0
your progress,"Not sure about the better scheduling, it's a bit hit or miss.",0
your progress,"Average visual charts, does what it's supposed to do.",0
your progress,Needs improvement.,0
daily and weekly summaries,I love the daily and weekly summaries! It works perfectly.,1
daily and weekly summaries,daily and weekly summaries is exactly what I needed. Great job!,1
daily and weekly summaries,"The daily and weekly summaries works flawlessly, very impressed.",1
daily and weekly summaries,I love the daily and weekly summaries! It works perfectly.,1
daily and weekly summaries,I have mixed feelings about the your tasks.,0
daily and weekly summaries,Can't get it to work properly.,0
daily and weekly summaries,"Disappointed with the better scheduling, needs improvement.",0
daily and weekly summaries,Can't get the your productivity to work properly. Uninstalling!,0
daily and weekly summaries,"Disappointed with the track progress, needs improvement.",0
sharing tasks,"I'm using the sharing tasks occasionally, it's decent.",1
sharing tasks,Finally an app with a good sharing tasks. Five stars!,1
sharing tasks,This app would be good if the sharing tasks actually worked.,1
sharing tasks,I hate how the sharing tasks keeps crashing.,1
sharing tasks,"The sharing tasks is okay, but could be better.",1
sharing tasks,Works well on my device.,0
sharing tasks,"Average find tasks, does what it's supposed to do.",0
sharing tasks,"Great our task management app, intuitive and easy to use!",0
sharing tasks,visual charts is exactly what I needed. Great job!,0
sharing tasks,Simple and easy to use.,0
track progress,The track progress is full of glitches. Fix it please!,1
track progress,"Disappointed with the track progress, needs improvement.",1
track progress,Worth the download.,0
track progress,This app would be good if the find tasks actually worked.,0
track progress,I hate how the set reminders keeps crashing.,0
track progress,"The your accomplishments works, but it's nothing special.",0
track progress,This app would be good if the organize tasks actually worked.,0
set priorities,The set priorities is too complicated and confusing.,1
set priorities,"The set priorities is amazing, best app I've used.",1
set priorities,This app has a great set priorities that makes everything easier.,1
set priorities,"The set priorities works, but it's nothing special.",1
set priorities,"Disappointed with the set priorities, needs improvement.",1
set priorities,I love the your progress! It works perfectly.,0
set priorities,I'm really enjoying the our task management app in this update.,0
set priorities,I hate how the your productivity keeps crashing.,0
set priorities,This app has a great all your devices that makes everything easier.,0
set priorities,"The your accomplishments is terrible, doesn't work at all.",0
calendar apps,Can't get the calendar apps to work properly. Uninstalling!,1
calendar apps,I have mixed feelings about the calendar apps.,1
calendar apps,"The calendar apps works, but it's nothing special.",1
